AAR,BYDEL,ALDER,STATKODE,PERSONER
2015,1,12,5374,1
2015,1,12,5390,3
2015,1,12,5434,1
2015,1,12,5438,1
2015,1,12,5492,2
2015,1,12,5700,1
2015,1,13,5100,364
2015,1,13,5110,1
2015,1,13,5120,1
2015,1,13,5170,1
2015,1,13,5314,1
2015,1,13,5354,1
2015,1,13,5390,5
2015,1,13,5438,1
2015,1,13,5448,1
2015,1,13,5474,1
2015,1,13,5492,1
2015,1,13,5704,1
2015,1,13,5778,1
2015,1,14,5100,318
2015,1,14,5103,1
2015,1,14,5128,1
2015,1,14,5130,1
2015,1,14,5134,1
2015,1,14,5158,1
2015,1,14,5164,2
2015,1,14,5170,2
2015,1,14,5180,2
2015,1,14,5390,2
2015,1,14,5436,1
2015,1,14,5448,1
2015,1,14,5456,1
2015,1,14,5502,2
2015,1,15,5100,367
2015,1,15,5103,1
2015,1,15,5104,1
2015,1,15,5106,1
2015,1,15,5120,2
2015,1,15,5150,1
2015,1,15,5170,1
2015,1,15,5180,1
2015,1,15,5314,1
2015,1,15,5390,2
2015,1,15,5436,1
2015,1,15,5486,1
2015,1,15,5492,1
2015,1,15,5611,1
2015,1,16,5100,355
2015,1,16,5104,1
2015,1,16,5106,1
2015,1,16,5120,1
2015,1,16,5128,1
2015,1,16,5130,1
2015,1,16,5134,1
2015,1,16,5160,1
2015,1,16,5170,3
2015,1,16,5306,1
2015,1,16,5390,2
2015,1,16,5492,1
2015,1,16,5609,1
2015,1,17,5100,360
2015,1,17,5104,1
2015,1,17,5106,1
2015,1,17,5110,1
2015,1,17,5120,1
2015,1,17,5128,1
2015,1,17,5130,2
2015,1,17,5170,3
2015,1,17,5180,2
2015,1,17,5228,1
2015,1,17,5314,1
2015,1,17,5390,3
2015,1,17,5432,1
2015,1,17,5472,1
2015,1,17,5492,1
2015,1,17,5502,1
2015,1,18,5100,378
2015,1,18,5104,1
2015,1,18,5106,1
2015,1,18,5110,2
2015,1,18,5120,1
2015,1,18,5130,4
2015,1,18,5150,1
2015,1,18,5170,2
2015,1,18,5174,1
2015,1,18,5180,2
2015,1,18,5269,1
2015,1,18,5306,1
2015,1,18,5314,1
2015,1,18,5364,1
2015,1,18,5390,1
2015,1,18,5432,2
2015,1,18,5436,1
2015,1,18,5759,1
2015,1,19,5100,486
2015,1,19,5104,2
2015,1,19,5110,7
2015,1,19,5120,6
2015,1,19,5130,1
2015,1,19,5134,1
2015,1,19,5150,1
2015,1,19,5164,2
2015,1,19,5170,3
2015,1,19,5180,2
2015,1,19,5302,1
2015,1,19,5306,1
2015,1,19,5314,1
2015,1,19,5390,2
2015,1,19,5436,1
2015,1,19,5448,1
2015,1,19,5464,1
2015,1,19,5474,1
2015,1,19,5502,1
2015,1,19,5611,1
2015,1,19,5756,1
2015,1,20,5100,678
2015,1,20,5104,3
2015,1,20,5106,1
2015,1,20,5110,21
2015,1,20,5120,5
2015,1,20,5128,1
2015,1,20,5130,6
2015,1,20,5140,2
2015,1,20,5150,2
2015,1,20,5154,6
2015,1,20,5158,2
2015,1,20,5164,1
2015,1,20,5170,6
2015,1,20,5174,3
2015,1,20,5180,4
2015,1,20,5182,1
2015,1,20,5244,1
2015,1,20,5302,1
2015,1,20,5314,3
2015,1,20,5390,8
2015,1,20,5432,1
2015,1,20,5442,1
2015,1,20,5448,1
2015,1,20,5482,1
2015,1,20,5486,1
2015,1,20,5502,1
2015,1,20,5704,1
2015,1,20,5776,1
2015,1,20,5778,1
2015,1,21,5100,859
2015,1,21,5104,4
2015,1,21,5110,36
2015,1,21,5120,15
2015,1,21,5128,2
2015,1,21,5129,1
2015,1,21,5130,3
2015,1,21,5142,1
2015,1,21,5150,7
2015,1,21,5154,5
2015,1,21,5156,1
2015,1,21,5160,1
2015,1,21,5164,3
2015,1,21,5170,9
2015,1,21,5174,1
2015,1,21,5180,4
2015,1,21,5182,1
2015,1,21,5244,1
2015,1,21,5289,1
2015,1,21,5302,2
2015,1,21,5314,2
2015,1,21,5354,1
2015,1,21,5390,14
2015,1,21,5436,1
2015,1,21,5444,2
2015,1,21,5448,1
2015,1,21,5474,1
2015,1,21,5482,1
2015,1,21,5488,1
2015,1,21,5492,1
2015,1,21,5502,3
2015,1,21,5611,1
2015,1,21,5700,1
2015,1,21,5750,1
2015,1,21,5776,1
2015,1,21,5778,3
2015,1,22,5100,934
2015,1,22,5104,5
2015,1,22,5110,42
2015,1,22,5120,12
2015,1,22,5126,2
2015,1,22,5128,3
2015,1,22,5130,6
2015,1,22,5140,1
2015,1,22,5150,16
2015,1,22,5154,2
2015,1,22,5156,1
2015,1,22,5158,2
2015,1,22,5160,2
2015,1,22,5164,3
2015,1,22,5170,4
2015,1,22,5174,2
2015,1,22,5180,8
2015,1,22,5306,2
2015,1,22,5314,1
2015,1,22,5316,2
2015,1,22,5354,2
2015,1,22,5390,18
2015,1,22,5436,1
2015,1,22,5444,1
2015,1,22,5448,2
2015,1,22,5458,1
2015,1,22,5464,1
2015,1,22,5474,7
2015,1,22,5502,3
2015,1,22,5514,1
2015,1,22,5607,1
2015,1,22,5611,1
2015,1,22,5700,1
2015,1,22,5704,1
2015,1,22,5754,1
2015,1,22,5757,1
2015,1,22,5776,1
2015,1,22,5778,2
2015,1,23,5100,980
2015,1,23,5103,1
2015,1,23,5104,5
2015,1,23,5106,3
2015,1,23,5110,57
2015,1,23,5120,15
2015,1,23,5126,2
2015,1,23,5128,1
2015,1,23,5130,14
2015,1,23,5134,1
2015,1,23,5140,1
2015,1,23,5142,4
2015,1,23,5150,17
2015,1,23,5154,4
2015,1,23,5156,3
2015,1,23,5158,4
2015,1,23,5160,2
2015,1,23,5164,8
2015,1,23,5170,20
2015,1,23,5174,4
2015,1,23,5180,16
2015,1,23,5182,3
2015,1,23,5302,1
2015,1,23,5318,1
2015,1,23,5354,1
2015,1,23,5390,16
2015,1,23,5448,4
2015,1,23,5464,2
2015,1,23,5474,10
2015,1,23,5482,1
2015,1,23,5484,2
2015,1,23,5502,4
2015,1,23,5607,2
2015,1,23,5609,3
2015,1,23,5611,4
2015,1,23,5704,2
2015,1,23,5716,1
2015,1,23,5757,1
